# Revision-53 Sharkbite client-scope disposition manifest.
# Matrix: docs/sharkbite-compatibility.md revision 53.
# Sharkbite source: phrocker/sharkbite@7f2625f74331b0cd4a75dc0484949c40f1409686.
# Shoal source: phrocker/shoal-oss@e1fe2628ff59c71fc776cca53e405a48dfcaa4a8.
# Policy: docs/sharkbite-client-scope.md.
# Columns: ROW-ID<TAB>DISPOSITION<TAB>RULE<TAB>PINNED-MATRIX-STATUS.
# Entries are in matrix order; validator rules, not aggregate counts, authorize dispositions.

SB-PKG-001	Approved divergence	core-approved-divergence	Intentional divergence (approval required)
SB-PKG-002	Covered	core-covered	Covered
SB-PKG-003	Covered	core-covered	Covered
SB-PKG-004	Covered	core-covered	Covered
SB-PKG-005	Not required	not-required-rationale	Not required (rationale required)
SB-PKG-006	Not required	not-required-rationale	Not required (rationale required)
SB-PKG-007	Approved divergence	core-approved-divergence	Intentional divergence (approval required)
SB-PKG-008	Required gap	core-required-gap	Missing C ABI
SB-PKG-009	Covered	core-covered	Covered
SB-PKG-010	Covered	core-covered	Covered
SB-PKG-011	Required gap	core-required-gap	Missing C ABI
SB-PKG-012	Optional	optional-python-extra	Missing C ABI
SB-PKG-013	Optional	optional-python-extra	Missing C ABI
SB-PKG-014	Approved divergence	core-approved-divergence	Intentional divergence (approval required)
SB-CFG-001	Covered	core-covered	Covered
SB-CFG-002	Covered	core-covered	Covered
SB-CFG-003	Covered	core-covered	Covered
SB-CFG-004	Covered	core-covered	Covered
SB-CFG-005	Covered	core-covered	Covered
SB-CFG-024	Covered	core-covered	Covered
SB-CFG-025	Not required	not-required-rationale	Not required (rationale required)
SB-CFG-006	Required gap	core-required-gap	Behavior mismatch
SB-CFG-007	Required gap	core-required-gap	Behavior mismatch
SB-CFG-026	Required gap	core-required-gap	Behavior mismatch
SB-CFG-027	Required gap	core-required-gap	Behavior mismatch
SB-CFG-028	Required gap	core-required-gap	Behavior mismatch
SB-CFG-029	Covered	core-covered	Covered
SB-CFG-030	Covered	core-covered	Covered
SB-CFG-031	Covered	core-covered	Covered
SB-CFG-032	Covered	core-covered	Covered
SB-CFG-033	Not required	not-required-rationale	Not required (rationale required)
SB-CFG-034	Not required	not-required-rationale	Not required (rationale required)
SB-CFG-035	Covered	core-covered	Covered
SB-CFG-036	Covered	core-covered	Covered
SB-CFG-008	Required gap	core-required-gap	Behavior mismatch
SB-CFG-009	Required gap	core-required-gap	Behavior mismatch
SB-CFG-019	Required gap	core-required-gap	Behavior mismatch
SB-CFG-010	Required gap	core-required-gap	Behavior mismatch
SB-CFG-020	Required gap	core-required-gap	Behavior mismatch
SB-CFG-011	Not required	not-required-rationale	Not required (rationale required)
SB-CFG-012	Required gap	core-required-gap	Behavior mismatch
SB-CFG-013	Required gap	core-required-gap	Behavior mismatch
SB-CFG-021	Required gap	core-required-gap	Behavior mismatch
SB-CFG-014	Approved divergence	core-approved-divergence	Intentional divergence (approval required)
SB-CFG-022	Approved divergence	core-approved-divergence	Intentional divergence (approval required)
SB-CFG-015	Required gap	core-required-gap	Behavior mismatch
SB-CFG-023	Required gap	core-required-gap	Behavior mismatch
SB-CFG-016	Not required	not-required-rationale	Not required (rationale required)
SB-CFG-017	Required gap	core-required-gap	Behavior mismatch
SB-CFG-018	Not required	not-required-rationale	Not required (rationale required)
SB-CONN-001	Required gap	core-required-gap	Behavior mismatch
SB-CONN-002	Required gap	core-required-gap	Behavior mismatch
SB-CONN-003	Required gap	core-required-gap	Behavior mismatch
SB-CONN-004	Required gap	core-required-gap	Behavior mismatch
SB-CONN-005	Required gap	core-required-gap	Behavior mismatch
SB-CONN-006	Required gap	core-required-gap	Behavior mismatch
SB-CONN-007	Required gap	core-required-gap	Missing Go
SB-CONN-008	Required gap	core-required-gap	Behavior mismatch
SB-CONN-009	Required gap	core-required-gap	Behavior mismatch
SB-CONN-010	Approved divergence	core-approved-divergence	Intentional divergence (approval required)
SB-CONN-011	Covered	core-covered	Covered
SB-CONN-012	Required gap	core-required-gap	Behavior mismatch
SB-CONN-013	Required gap	core-required-gap	Behavior mismatch
SB-DATA-001	Covered	core-covered	Covered
SB-DATA-002	Covered	core-covered	Covered
SB-DATA-003	Covered	core-covered	Covered
SB-DATA-004	Covered	core-covered	Covered
SB-DATA-072	Covered	core-covered	Covered
SB-DATA-005	Covered	core-covered	Covered
SB-DATA-006	Covered	core-covered	Covered
SB-DATA-007	Covered	core-covered	Covered
SB-DATA-008	Covered	core-covered	Covered
SB-DATA-009	Covered	core-covered	Covered
SB-DATA-010	Covered	core-covered	Covered
SB-DATA-011	Covered	core-covered	Covered
SB-DATA-012	Covered	core-covered	Covered
SB-DATA-013	Covered	core-covered	Covered
SB-DATA-014	Covered	core-covered	Covered
SB-DATA-015	Covered	core-covered	Covered
SB-DATA-073	Covered	core-covered	Covered
SB-DATA-016	Covered	core-covered	Covered
SB-DATA-017	Covered	core-covered	Covered
SB-DATA-018	Covered	core-covered	Covered
SB-DATA-019	Covered	core-covered	Covered
SB-DATA-020	Covered	core-covered	Covered
SB-DATA-021	Covered	core-covered	Covered
SB-DATA-022	Covered	core-covered	Covered
SB-DATA-023	Covered	core-covered	Covered
SB-DATA-024	Covered	core-covered	Covered
SB-DATA-025	Covered	core-covered	Covered
SB-DATA-026	Covered	core-covered	Covered
SB-DATA-027	Covered	core-covered	Covered
SB-DATA-028	Covered	core-covered	Covered
SB-DATA-029	Covered	core-covered	Covered
SB-DATA-030	Covered	core-covered	Covered
SB-DATA-031	Covered	core-covered	Covered
